City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
307,eastham,41.8301,-69.9739,19.98,77,0,4.12,US,1730834417
308,tara,56.8944,74.371,-3.27,82,99,2.28,RU,1730834319
309,evergreen,39.6333,-105.3172,8.96,44,54,1.34,US,1730834400
310,cannonvale,-20.2833,148.7,22.66,78,16,2.59,AU,1730834484
311,el kala,36.8956,8.4433,20.41,74,1,1.3,DZ,1730834506
312,flying fish cove,-10.4217,105.6791,25.82,94,100,5.66,CX,1730834528
313,whitehorse,60.7161,-135.0538,-1.57,79,100,8.75,CA,1730834550
314,tazacorte,28.629,-17.9293,21.54,95,20,2.57,ES,1730834573
315,ndioum,16.5129,-14.6471,35.79,13,0,3.85,SN,1730834595
316,callao,-12.0667,-77.15,21.16,73,75,4.12,PE,1730834617
317,kuqa,41.7278,82.9364,11.84,40,100,1.96,CN,1730834639
318,prince rupert,54.3161,-130.3201,7.83,70,100,11.83,CA,1730834661
319,juruti,-2.1522,-56.0922,36.9,34,100,1.31,BR,1730834684
320,newman,37.3138,-121.0208,20.02,42,93,6.71,US,1730834706
321,tangalle,6.024,80.7911,25.48,84,100,2.3,LK,1730834728
322,kuytun,54.3419,101.5036,-1.7,90,100,2.13,RU,1730834750
323,pariaman,-0.619,100.12,24.03,95,100,2.35,ID,1730834772
324,swan hill,-35.3378,143.5544,19.76,31,27,4.78,AU,1730834795
325,mar del plata,-38.0023,-57.5575,23.07,31,0,5.14,AR,1730834817
326,ennis,52.8436,-8.9864,13.96,88,75,4.12,IE,1730834839
327,dryden,49.7833,-92.7503,0.16,100,100,0.0,CA,1730834861
328,tazovsky,67.4667,78.7,-3.87,94,100,7.97,RU,1730834884
329,al jadid,27.05,14.4,20.17,40,0,4.13,LY,1730834906
330,crucecita,-28.95,-58.9833,24.22,70,100,5.46,AR,1730834928
331,pangai,-19.8,-174.35,24.06,64,75,5.66,TO,1730834950
332,machagai,-26.9261,-60.0496,25.56,64,100,4.78,AR,1730834972
333,cabedelo,-6.9811,-34.8339,29.37,66,100,7.6,BR,1730834995
334,deir ez-zor,35.3359,40.1408,17.74,44,0,1.92,SY,1730835017
335,souillac,-20.5167,57.5167,23.21,78,40,0.0,MU,1730835039
336,beau vallon,-20.4189,57.6953,23.13,78,40,0.0,MU,1730835061
337,san antonio de pale,-1.4014,5.6325,25.81,81,83,3.49,GQ,1730835083
338,sinabang,2.4803,96.3801,25.19,84,95,2.32,ID,1730835106
339,port douglas,-16.4833,145.4667,22.28,84,27,2.68,AU,1730834837
340,kitakata,37.65,139.8667,7.81,94,100,1.31,JP,1730835150
341,pervomayskoye,43.919,46.7102,2.79,55,69,7.45,RU,1730835172
342,hadibu,12.65,54.0333,26.63,79,10,2.78,YE,1730835195
343,novyy karanlug,39.7955,47.1099,6.87,58,91,2.5,AZ,1730835217
344,sant lluis,39.8526,4.2594,18.22,88,20,0.51,ES,1730835239
345,fameck,49.3033,6.1086,8.99,99,11,0.54,FR,1730835261
346,bismarck,46.8083,-100.7837,7.15,73,100,4.12,US,1730835283
347,patharia,23.9,79.2,19.42,64,0,1.48,IN,1730835306
348,qamdo,31.1667,97.2333,-0.49,71,98,1.25,CN,1730835328
349,lorengau,-2.0226,147.2712,26.15,81,14,0.82,PG,1730835350
350,north las vegas,36.1989,-115.1175,19.25,24,0,1.54,US,1730835372
351,inarajan village,13.2736,144.7484,26.54,92,63,5.1,GU,1730835394
352,lazaro cardenas,17.9583,-102.2,29.12,69,2,3.53,MX,1730835417
353,new norfolk,-42.7826,147.0587,11.51,77,100,1.52,AU,1730835439
354,dali,25.7,100.1833,10.67,92,78,0.61,CN,1730835461
355,sandnessjoen,66.0217,12.6316,8.06,100,75,4.12,NO,1730835483
356,thurso,58.5927,-3.5259,8.14,82,36,2.48,GB,1730835506
357,bodo,67.28,14.405,8.02,81,100,9.26,NO,1730835528
358,skoghall,59.3232,13.4655,6.31,93,100,2.06,SE,1730835550
